ts_code,name,area,fullname,enname,cnspell,market,list_date
000429.SZ,粤高速A,广东,广东省高速公路发展股份有限公司,"Guangdong Provincial Expressway Development Co.,Ltd.",ygsa,主板,19980220
000430.SZ,张家界,湖南,张家界旅游集团股份有限公司,"Zhang Jia Jie Tourism Group Co., Ltd",zjj,主板,19960829
000488.SZ,晨鸣纸业,山东,山东晨鸣纸业集团股份有限公司,Shandong Chenming Paper Holdings Limited,cmzy,主板,20001120
000498.SZ,山东路桥,山东,山东高速路桥集团股份有限公司,"Shandong Hi-Speed Road&Bridge Group Co.,Ltd.",sdlq,主板,19970609
000501.SZ,鄂武商A,湖北,武汉武商集团股份有限公司,"Wuhan Department Store Group Co., Ltd.",ewsa,主板,19921120
000502.SZ,*ST绿景,广东,绿景控股股份有限公司,"Lvjing Holding Co., Ltd.",stlj,主板,19921123
000503.SZ,国新健康,海南,国新健康保障服务集团股份有限公司,"China Reform Health Management and Services Group Co., Ltd.",gxjk,主板,19921130
000504.SZ,南华生物,湖南,南华生物医药股份有限公司,"Nanhua Bio-Medicine Co.,Ltd.",nhsw,主板,19921208
000505.SZ,京粮控股,海南,海南京粮控股股份有限公司,"Hainan Jingliang Holdings Co., Ltd.",jlkg,主板,19921221
000506.SZ,中润资源,山东,中润资源投资股份有限公司,Zhongrun Resources Investment Corporation,zrzy,主板,19930312
000507.SZ,珠海港,广东,珠海港股份有限公司,"Zhuhai Port Co., Ltd",zhg,主板,19930326
000509.SZ,*ST华塑,四川,华塑控股股份有限公司,"Huasu Holdings Co.,Ltd",sths,主板,19930507
000510.SZ,新金路,四川,四川新金路集团股份有限公司,"Sichuan Xinjinlu Group Co.,Ltd",xjl,主板,19930507
000513.SZ,丽珠集团,广东,丽珠医药集团股份有限公司,Livzon Pharmaceutical Group Inc.,lzjt,主板,19931028
000514.SZ,渝开发,重庆,重庆渝开发股份有限公司,"Chongqing Yukaifa Co.,Ltd",ykf,主板,19930712
000516.SZ,ST国医,陕西,西安国际医学投资股份有限公司,Xi'An International Medical Investment Company Limited,stgy,主板,19930809
000517.SZ,荣安地产,浙江,荣安地产股份有限公司,"Rongan Property Co., Ltd.",radc,主板,19930806
000518.SZ,四环生物,江苏,江苏四环生物股份有限公司,"Jiangsu Sihuan Bioengineering Co.,Ltd",shsw,主板,19930908
000519.SZ,中兵红箭,湖南,中兵红箭股份有限公司,"North Industries Group Red Arrow Co., Ltd",zbhj,主板,19931008
000520.SZ,长航凤凰,湖北,长航凤凰股份有限公司,"Chang Jiang Shipping Group Phoenix Co.,Ltd",chfh,主板,19931025
000521.SZ,长虹美菱,安徽,长虹美菱股份有限公司,"Changhong Meiling CO.,LTD.",chml,主板,19931018
000523.SZ,*ST浪奇,广东,广州市浪奇实业股份有限公司,"Lonkey Industrial Co.,Ltd.Guangzhou",stlq,主板,19931108
000524.SZ,岭南控股,广东,广州岭南集团控股股份有限公司,Guangzhou Lingnan Group Holdings Company Limited,lnkg,主板,19931118
000525.SZ,ST红太阳,江苏,南京红太阳股份有限公司,"Nanjing Red Sun Co.,Ltd.",sthty,主板,19931028
000526.SZ,学大教育,福建,学大(厦门)教育科技集团股份有限公司,"Xueda (Xiamen) Education Technology Group Co., Ltd",xdjy,主板,19931101
000528.SZ,柳工,广西,广西柳工机械股份有限公司,"Guangxi Liugong Machinery Co.,Ltd.",lg,主板,19931118
000529.SZ,广弘控股,广东,广东广弘控股股份有限公司,"Guangdong Guanghong Holdings Co.,Ltd.",ghkg,主板,19931118
000530.SZ,冰山冷热,辽宁,冰山冷热科技股份有限公司,"Bingshan Refrigeration & Heat Transfer Technologies Co.,Ltd.",bslr,主板,19931208
000531.SZ,穗恒运A,广东,广州恒运企业集团股份有限公司,Guangzhou Hengyun Enterprises Holding Ltd,shya,主板,19940106
000532.SZ,华金资本,广东,珠海华金资本股份有限公司,"Zhuhai Huajin Capital Co.,Ltd.",hjzb,主板,19940103
000533.SZ,顺钠股份,广东,广东顺钠电气股份有限公司,"Guangdong Shunna Electric Co.,Ltd.",sngf,主板,19940103
000534.SZ,万泽股份,广东,万泽实业股份有限公司,"Wedge Industrial Co.,Ltd.",wzgf,主板,19940110
000536.SZ,华映科技,福建,华映科技(集团)股份有限公司,"Cpt Technology (Group) Co., Ltd",hykj,主板,19931126
000537.SZ,广宇发展,天津,天津广宇发展股份有限公司,"Tianjin Guangyu Development Co., Ltd.",gyfz,主板,19931210
000538.SZ,云南白药,云南,云南白药集团股份有限公司,"Yunnan Baiyao Group Co., Ltd.",ynby,主板,19931215
000539.SZ,粤电力A,广东,广东电力发展股份有限公司,"Guangdong Electric Power Development Co.,Ltd",ydla,主板,19931126
000540.SZ,中天金融,贵州,中天金融集团股份有限公司,Zhongtian Financial Group Company Limited,ztjr,主板,19940202
000541.SZ,佛山照明,广东,佛山电器照明股份有限公司,"Foshan Electrical and Lighting Co.,Ltd.",fszm,主板,19931123
000543.SZ,皖能电力,安徽,安徽省皖能股份有限公司,An Hui Wenergy Company Limited,wndl,主板,19931220
